timestamp,internal_temp_c,external_temp_c,battery_voltage_v,battery_current_a,battery_soc_percent,battery_capacity_ah,energy_available_kwh,power_load_kw,energy_loss_percent,tank_pressure_bar,structural_integrity,critical_modules_status,telemetry_link_status,estimated_autonomy_min,launch_decision,anomalia_inserida
2026-09-03 12:00:00,24.37,19.44,47.11,71.91,70.47,113.1,3.7547,18.45,3.72,123.6,1,1,1,125.9,READY,nao
2026-09-03 12:00:01,34.16,13.76,49.25,67.92,69.88,110.58,3.8057,20.93,6.82,135.27,1,1,1,114.4,READY,nao
2026-09-03 12:00:02,30.44,5.83,51.24,22.56,96.25,102.94,5.0768,10.01,7.98,133.01,1,1,1,83.9,READY,nao
2026-09-03 12:00:03,28.18,23.48,50.39,54.12,69.98,118.24,4.1695,17.5,2.18,102.69,1,1,1,45.9,READY,nao
2026-09-03 12:00:04,20.65,18.97,50.84,58.02,70.88,88.02,3.1718,16.43,7.38,102.46,1,1,1,112.0,READY,nao
2026-09-03 12:00:05,20.65,0.69,49.95,59.88,90.38,84.37,3.8089,21.66,5.74,108.41,1,1,0,83.6,ABORT,sim
2026-09-03 12:00:06,18.99,26.88,50.15,78.02,77.99,114.16,4.465,23.12,7.84,113.05,1,1,1,144.2,READY,nao
2026-09-03 12:00:07,32.72,23.79,51.1,73.36,91.07,97.57,4.5406,5.24,4.79,115.42,1,1,1,48.2,READY,nao
2026-09-03 12:00:08,28.22,28.24,47.5,80.79,62.61,113.88,3.3868,18.48,7.08,128.98,1,1,1,124.0,READY,nao
2026-09-03 12:00:09,30.04,20.4,48.94,96.49,79.5,115.72,4.5024,6.04,2.37,97.83,1,1,1,172.1,READY,nao
2026-09-03 12:00:10,18.35,16.47,47.33,101.3,61.34,82.5,2.3952,15.98,4.01,96.73,1,1,1,68.5,READY,nao
2026-09-03 12:00:11,34.49,9.64,51.93,91.81,62.51,115.34,3.7441,10.75,2.4,114.6,1,1,1,108.7,READY,nao
2026-09-03 12:00:12,32.15,27.65,51.66,115.55,96.26,97.93,4.8699,11.14,7.85,129.86,1,1,1,57.3,READY,nao
2026-09-03 12:00:13,21.61,25.31,46.24,21.82,65.57,100.42,3.0447,12.06,6.9,104.67,1,1,1,129.5,READY,nao
2026-09-03 12:00:14,21.09,-3.42,50.23,39.58,81.3,105.06,4.2903,17.43,7.12,127.08,1,1,1,119.3,READY,nao
2026-09-03 12:00:15,21.12,-4.08,51.55,20.76,76.44,117.06,4.6127,11.68,7.63,107.99,1,1,1,100.0,READY,nao
2026-09-03 12:00:16,23.17,8.18,47.08,84.75,73.89,80.76,2.8094,19.65,2.51,139.3,1,1,1,115.4,READY,nao
2026-09-03 12:00:17,26.92,23.37,49.41,109.8,95.99,99.07,4.6988,13.09,4.31,139.78,1,1,1,166.0,READY,nao
2026-09-03 12:00:18,25.34,29.55,51.49,44.35,60.87,107.51,3.3696,6.37,2.43,109.86,1,1,1,71.5,READY,nao
2026-09-03 12:00:19,22.95,0.26,46.2,112.7,86.55,108.91,4.3549,20.68,3.26,106.5,1,1,1,48.0,READY,nao
2026-09-03 12:00:20,28.4,15.79,50.18,26.03,98.54,107.7,5.3255,10.72,3.38,115.57,1,1,1,161.3,READY,nao
2026-09-03 12:00:21,20.37,8.33,47.78,113.44,82.41,85.38,3.3619,13.66,4.81,107.03,1,1,1,122.9,READY,nao
2026-09-03 12:00:22,22.97,28.95,51.55,55.16,97.47,91.98,4.6216,18.71,3.61,128.62,1,1,1,165.2,READY,nao
2026-09-03 12:00:23,24.23,24.47,51.83,30.14,62.09,94.35,3.0363,11.65,2.61,136.3,1,1,1,125.6,READY,nao
2026-09-03 12:00:24,25.75,24.34,51.67,68.59,76.75,112.18,4.4487,6.13,3.0,128.65,1,1,1,154.4,READY,nao
2026-09-03 12:00:25,31.35,11.4,48.85,45.68,70.41,91.15,3.1351,12.48,2.88,136.22,1,1,1,103.0,READY,nao
2026-09-03 12:00:26,21.39,9.52,51.17,48.49,89.23,88.43,4.0376,23.89,7.84,114.85,1,1,1,146.2,READY,nao
2026-09-03 12:00:27,26.74,4.57,51.07,50.73,99.25,118.3,5.9963,17.83,6.56,102.82,1,1,1,168.3,READY,nao
2026-09-03 12:00:28,28.07,-3.03,47.91,100.3,70.26,80.35,2.7047,18.43,7.81,131.9,1,1,1,122.2,READY,nao
2026-09-03 12:00:29,18.79,25.27,50.97,73.92,86.17,119.91,5.2665,17.65,4.64,113.02,1,1,1,69.4,READY,nao
2026-09-03 12:00:30,28.33,23.45,46.22,51.13,67.92,107.07,3.3612,8.98,3.67,128.56,1,1,1,81.3,READY,nao
2026-09-03 12:00:31,20.9,29.99,49.58,81.03,82.61,113.14,4.634,13.37,6.79,108.53,1,1,1,71.8,READY,nao
2026-09-03 12:00:32,19.11,29.88,47.38,91.62,78.56,91.78,3.4162,20.02,3.96,99.06,1,1,1,78.3,READY,nao
2026-09-03 12:00:33,34.13,14.44,46.72,47.26,98.88,80.57,3.7221,7.03,3.8,144.63,1,1,1,86.4,READY,nao
2026-09-03 12:00:34,62.0,21.91,46.46,61.35,84.34,109.51,4.2911,10.56,3.4,102.81,1,0,1,119.9,ABORT,sim
2026-09-03 12:00:35,31.74,28.07,50.18,32.19,73.98,113.37,4.2087,10.53,2.78,144.42,1,1,1,124.4,READY,nao
2026-09-03 12:00:36,23.18,24.74,48.04,38.11,64.56,109.62,3.3998,13.64,3.54,143.86,1,1,1,102.6,READY,nao
2026-09-03 12:00:37,19.66,3.66,50.35,88.11,66.05,85.71,2.8504,24.61,4.13,134.69,1,1,1,128.1,READY,nao
2026-09-03 12:00:38,29.63,10.77,46.39,38.14,69.01,110.14,3.526,6.35,6.04,127.97,1,1,1,56.0,READY,nao
2026-09-03 12:00:39,25.48,-0.48,47.89,72.52,70.04,110.76,3.7151,15.37,2.38,123.89,1,1,1,56.9,READY,nao
2026-09-03 12:00:40,20.07,28.39,49.24,90.9,94.02,106.34,4.9231,8.59,3.26,138.31,1,1,1,68.2,READY,nao
2026-09-03 12:00:41,26.42,16.22,50.74,30.69,82.45,110.64,4.6286,24.41,6.85,109.47,1,1,1,114.9,READY,nao
2026-09-03 12:00:42,18.58,3.0,47.91,76.73,80.94,113.84,4.4145,7.27,2.88,118.38,1,1,1,73.9,READY,nao
2026-09-03 12:00:43,33.46,18.51,49.76,45.66,64.59,104.54,3.3599,13.07,4.06,125.97,1,1,1,83.2,READY,nao
2026-09-03 12:00:44,22.4,16.63,51.32,116.29,94.41,83.54,4.0476,19.76,7.19,115.56,1,1,1,99.0,READY,nao
2026-09-03 12:00:45,29.26,7.54,49.7,68.35,88.91,99.51,4.3972,19.09,2.93,116.37,1,1,1,154.6,READY,nao
2026-09-03 12:00:46,23.3,-1.03,47.4,100.6,62.71,83.11,2.4704,13.45,2.5,111.51,1,1,1,46.9,READY,nao
2026-09-03 12:00:47,26.84,18.51,46.15,75.02,88.31,96.3,3.9247,11.93,4.91,123.21,1,1,1,132.7,READY,nao
2026-09-03 12:00:48,27.29,13.21,51.22,24.34,81.74,96.28,4.031,12.95,3.81,137.53,1,1,1,135.3,READY,nao
2026-09-03 12:00:49,21.14,22.03,46.13,83.32,63.27,82.64,2.412,10.29,5.38,105.08,1,1,1,152.8,READY,nao
2026-09-03 12:00:50,34.48,13.21,51.25,115.14,78.33,93.95,3.7715,9.11,6.82,141.72,1,1,1,170.9,READY,nao
2026-09-03 12:00:51,31.18,24.83,49.17,80.16,79.39,84.44,3.2962,14.66,2.82,129.45,1,1,1,47.7,READY,nao
2026-09-03 12:00:52,33.97,14.32,51.63,101.92,66.63,112.33,3.8643,10.37,5.48,136.16,1,1,1,65.8,READY,nao
2026-09-03 12:00:53,33.21,14.63,50.79,108.42,97.83,117.91,5.8587,10.75,5.03,122.81,1,1,1,164.6,READY,nao
2026-09-03 12:00:54,28.16,25.68,51.99,42.81,94.0,82.89,4.0509,18.14,2.86,133.98,1,1,1,106.9,READY,nao
2026-09-03 12:00:55,33.67,9.12,48.1,41.2,86.76,118.2,4.9327,24.37,5.74,95.81,1,1,1,121.2,READY,nao
2026-09-03 12:00:56,19.5,-0.31,50.6,81.1,78.49,100.9,4.0073,17.07,3.64,135.92,1,1,1,134.5,READY,nao
2026-09-03 12:00:57,21.33,-3.99,48.41,61.1,76.47,91.98,3.405,6.54,4.93,97.01,1,1,1,136.7,READY,nao
2026-09-03 12:00:58,18.77,21.43,48.88,103.99,86.04,83.07,3.4936,6.51,2.49,139.5,1,1,1,170.8,READY,nao
